graph,order,freq,input_time,task_time,total_time,input_power,task_power,input_e,task_e,total_e
mobile,BLBBGBLBLGLGBL,"((0,), (0,), (6,), (5,), (1, 4), (7,), (2,), (6,), (1,), (2, 7), (5,), (1, 1), (3,), (0,))",61.281,201.47858,262.75958,3273.4306243539027,4225.5193987280745,200.5991020910315,851.3516482181863,1051.9507503092177
mobile,BLBBGBLBLGLGBL,"((0,), (4,), (7,), (3,), (1, 0), (5,), (2,), (7,), (1,), (4, 4), (3,), (2, 3), (5,), (3,))",61.3331,167.38404,228.71714,3297.8816599591246,4470.460230147683,202.269305638439,748.283693981449,950.552999619888
mobile,BLBBGBLBLGLGBL,"((4,), (0,), (6,), (6,), (2, 6), (3,), (4,), (7,), (2,), (3, 4), (0,), (2, 6), (3,), (4,))",22.7783,172.19163,194.96993,3892.79595661949,4446.087755182954,88.67127413866572,765.5790976879939,854.2503718266596
mobile,BLBBGBLBLGLGBL,"((1,), (4,), (3,), (3,), (1, 7), (5,), (4,), (4,), (3,), (3, 1), (1,), (0, 6), (4,), (2,))",41.8739,188.09806000000003,229.97196,3411.0421047534846,4249.255374006735,142.83363599023696,799.2766922952414,942.1103282854784
mobile,BLBBGBLBLGLGBL,"((0,), (0,), (6,), (6,), (2, 1), (2,), (0,), (7,), (1,), (0, 7), (1,), (0, 0), (7,), (4,))",61.3614,227.32687,288.68827,3311.188302183259,4126.3668189810005,203.17914988558783,938.0340534308076,1141.2132033163953
mobile,BLBBGBLBLGLGBL,"((5,), (0,), (4,), (0,), (0, 5), (4,), (2,), (7,), (2,), (3, 4), (2,), (3, 6), (5,), (4,))",20.655,191.73448000000005,212.38948000000005,4106.842820684218,4275.436423745221,84.82683846123253,819.7485794798498,904.5754179410824
mobile,BLBBGBLBLGLGBL,"((5,), (2,), (1,), (4,), (2, 7), (4,), (1,), (7,), (5,), (0, 3), (5,), (1, 0), (6,), (3,))",20.4427,189.76357,210.20627,4082.198459661254,4340.83478706772,83.45115845131711,823.7323059741603,907.1834644254776
mobile,BLBBGBLBLGLGBL,"((4,), (1,), (4,), (0,), (2, 3), (3,), (3,), (1,), (0,), (4, 4), (3,), (4, 6), (6,), (2,))",22.7992,192.50078,215.29998000000003,3888.5457036019534,4212.330092345781,88.65573120556165,810.8768283940349,899.5325595995965
mobile,BLBBGBLBLGLGBL,"((6,), (2,), (6,), (3,), (3, 4), (3,), (0,), (3,), (0,), (4, 0), (4,), (3, 4), (0,), (4,))",17.4202,173.88442000000003,191.30462000000003,4429.319059274059,4348.004894748772,77.15962387636598,756.0503092805513,833.2099331569174
mobile,BLBBGBLBLGLGBL,"((0,), (5,), (4,), (7,), (3, 3), (3,), (3,), (4,), (3,), (4, 2), (4,), (1, 6), (0,), (5,))",61.3614,171.11432999999997,232.47573,3336.194451038928,4501.153431532852,204.7135621879801,770.2118536639447,974.9254158519248
mobile,GBLBLGLGBGGGGG,"((0, 1), (7,), (0,), (3,), (0,), (3, 1), (2,), (3, 2), (3,), (0, 4), (3, 1), (3, 1), (2, 6), (1, 5))",32.2592,220.99157,253.25077,3481.1066183451635,4227.193409827103,112.2977146225203,934.1741083313448,1046.4718229538653
mobile,GBLBLGLGBGGGGG,"((1, 2), (4,), (4,), (3,), (0,), (1, 6), (5,), (4, 5), (4,), (4, 5), (4, 5), (4, 4), (1, 4), (1, 6))",24.8529,181.44372,206.29662,3697.704874731391,4615.973749850285,91.8986894812118,837.5394485951851,929.438138076397
mobile,GBLBLGLGBGGGGG,"((4, 4), (3,), (0,), (5,), (0,), (1, 7), (5,), (2, 5), (4,), (0, 7), (4, 3), (2, 3), (0, 2), (3, 6))",15.3234,214.29728000000003,229.62068,4419.021242368744,4386.979953175098,67.71443010531323,940.1178713799508,1007.832301485264
mobile,GBLBLGLGBGGGGG,"((3, 6), (2,), (5,), (7,), (2,), (0, 7), (4,), (2, 1), (5,), (3, 2), (0, 3), (4, 6), (0, 6), (2, 7))",11.8346,210.91543,222.75003,4947.480436507938,4462.956133572457,58.551451973896846,941.306311983572,999.8577639574688
mobile,GBLBLGLGBGGGGG,"((0, 3), (7,), (4,), (7,), (1,), (2, 6), (3,), (3, 4), (1,), (0, 1), (4, 2), (4, 6), (4, 1), (4, 4))",19.3755,178.52316000000002,197.89866,3860.170289987792,4733.960864301858,74.79272945365845,845.121652811499,919.9143822651574
mobile,GBLBLGLGBGGGGG,"((1, 0), (7,), (1,), (4,), (3,), (2, 2), (1,), (1, 4), (2,), (3, 2), (0, 1), (0, 7), (2, 2), (2, 7))",46.9822,232.71253,279.69473,3436.05697070764,4216.295400218102,161.43351580918048,981.1847698121172,1142.6182856212977
mobile,GBLBLGLGBGGGGG,"((3, 4), (6,), (1,), (4,), (4,), (2, 3), (0,), (2, 2), (1,), (1, 1), (0, 7), (4, 1), (3, 6), (1, 7))",14.6763,225.4661,240.1424,4487.257144522146,4279.963796315582,65.85633203015037,964.9867452964688,1030.843077326619
mobile,GBLBLGLGBGGGGG,"((3, 1), (0,), (1,), (4,), (1,), (3, 7), (1,), (4, 2), (3,), (3, 1), (0, 0), (1, 7), (4, 0), (4, 5))",29.3585,205.10904,234.46754,3715.799079633212,4412.095952851437,109.09028727941164,904.9607652772436,1014.0510525566552
mobile,GBLBLGLGBGGGGG,"((3, 0), (3,), (2,), (7,), (3,), (3, 2), (3,), (2, 6), (4,), (0, 4), (2, 2), (2, 2), (0, 4), (2, 6))",41.1683,210.90768000000003,252.07598,3575.2277846400843,4359.817104545331,147.18605000639835,919.5189107439734,1066.7049607503718
mobile,GBLBLGLGBGGGGG,"((4, 7), (5,), (2,), (2,), (3,), (2, 7), (2,), (0, 1), (1,), (0, 4), (0, 3), (4, 7), (3, 6), (0, 7))",11.1493,263.12524,274.27454,5342.698412698412,4164.026967695273,59.5673474126984,1095.660595241291,1155.2279426539894
mobile,GBLGGLBLLGBGBG,"((0, 1), (4,), (5,), (3, 7), (3, 2), (4,), (6,), (1,), (4,), (0, 2), (4,), (1, 5), (6,), (3, 6))",32.9141,184.02415,216.93825,3628.919646602189,4431.45752974493,119.4426241402291,815.4952051724105,934.9378293126396
