graph,order,freq,input_time,task_time,total_time,input_power,task_power,input_e,task_e,total_e
squeeze,LBGGGLGGLG,"((1,), (5,), (1, 2), (3, 1), (0, 4), (0,), (3, 4), (4, 2), (4,), (0, 4))",83.2213,205.23686000000004,288.45816,3258.0672198788257,4179.6701360373645,271.1405895257017,857.8223745560817,1128.9629640817834
squeeze,LBGGGLGGLG,"((0,), (2,), (1, 2), (2, 0), (0, 2), (4,), (3, 4), (3, 2), (2,), (1, 1))",121.506,214.35376000000005,335.85976000000005,3209.830751092713,4065.0389226408,390.0136952422712,871.3563776144049,1261.370072856676
squeeze,LBGGGLGGLG,"((0,), (6,), (0, 2), (3, 5), (1, 3), (0,), (0, 1), (2, 7), (3,), (2, 5))",121.77,221.74664000000007,343.51664000000005,3205.651975110691,4088.823079882838,390.35224100922886,906.6827795184712,1297.0350205277
squeeze,LBGGGLGGLG,"((0,), (7,), (3, 7), (0, 0), (3, 3), (1,), (4, 5), (2, 5), (3,), (3, 3))",121.736,207.56502,329.30102,3214.259954366366,4192.187619041947,391.291149804744,870.1515069901941,1261.442656794938
squeeze,LBGGGLGGLG,"((5,), (4,), (0, 4), (2, 0), (1, 4), (0,), (2, 2), (1, 4), (1,), (2, 6))",37.1941,191.6036,228.7977,3600.7985324675324,4279.867041232361,133.92846069645063,820.0379326214688,953.9663933179196
squeeze,LBGGGLGGLG,"((3,), (6,), (2, 6), (4, 1), (3, 3), (4,), (1, 2), (0, 0), (0,), (0, 1))",50.4623,201.7049,252.1672,3345.6340356330606,4205.189649894181,168.8283883963262,848.2073578129407,1017.0357462092668
squeeze,LBGGGLGGLG,"((1,), (2,), (3, 0), (0, 4), (3, 7), (0,), (0, 7), (0, 1), (4,), (3, 2))",83.5312,229.91515,313.44635,3247.033646616541,4045.018632156104,271.2286169422556,930.0110655649656,1201.2396825072212
squeeze,LBGGGLGGLG,"((4,), (0,), (1, 5), (2, 7), (2, 4), (5,), (3, 5), (3, 3), (4,), (2, 7))",43.3293,165.31709,208.64639000000005,3470.9566847922206,4492.425893654877,150.39412348236758,742.6747757796737,893.0688992620413
squeeze,LBGGGLGGLG,"((4,), (6,), (3, 0), (1, 3), (4, 4), (2,), (3, 7), (4, 4), (5,), (0, 6))",43.304,177.35931000000005,220.66331000000005,3454.5704748010608,4454.394313322292,149.59671984078514,790.0283018787657,939.6250217195508
squeeze,LBGGGLGGLG,"((0,), (2,), (4, 3), (0, 2), (4, 6), (0,), (3, 1), (3, 2), (5,), (0, 5))",121.761,240.18618,361.94718,3200.3460309700145,4006.664536655832,389.67733307693993,962.3454496008344,1352.022782677774
squeeze,BLGBLGBGBL,"((1,), (5,), (2, 3), (5,), (0,), (1, 7), (4,), (4, 2), (1,), (0,))",42.1605,210.23479999999995,252.3953,3464.097240891272,4223.646724387445,146.04807172459647,887.9575243722494,1034.005596096846
squeeze,BLGBLGBGBL,"((5,), (0,), (3, 2), (5,), (5,), (4, 1), (2,), (2, 0), (0,), (2,))",19.4559,185.1342,204.5901,4187.125793877176,4434.350411774702,81.46430073309494,820.94991600358,902.4142167366748
squeeze,BLGBLGBGBL,"((3,), (0,), (4, 1), (2,), (0,), (1, 4), (3,), (4, 7), (5,), (1,))",26.651,195.75003,222.40103,3701.425225318197,4289.430025416079,98.64668367995527,839.6560561580983,938.3027398380536
squeeze,BLGBLGBGBL,"((3,), (5,), (4, 6), (5,), (0,), (4, 0), (1,), (4, 1), (2,), (1,))",26.2967,177.688,203.9847,3711.478692380463,4489.176230798081,97.59964172992132,797.6727460980493,895.2723878279706
squeeze,BLGBLGBGBL,"((2,), (0,), (1, 5), (7,), (5,), (2, 1), (4,), (3, 4), (7,), (1,))",31.7883,184.5825,216.3708,3594.3032281572923,4438.319645183869,114.25678930763246,819.2361359071516,933.492925214784
squeeze,BLGBLGBGBL,"((6,), (0,), (3, 7), (2,), (5,), (2, 2), (5,), (2, 0), (7,), (5,))",17.915,170.72218,188.63718,4446.265142635144,4680.406866018655,79.65484003030859,799.0492634536728,878.7041034839814
squeeze,BLGBLGBGBL,"((2,), (5,), (4, 6), (7,), (4,), (1, 7), (0,), (4, 6), (2,), (4,))",32.2561,180.60687,212.86297,3613.1974370214057,4569.350071315707,116.54765784830616,825.2560143146067,941.8036721629128
squeeze,BLGBLGBGBL,"((6,), (0,), (4, 2), (3,), (2,), (2, 3), (6,), (2, 6), (5,), (2,))",17.3088,168.66669000000002,185.97549,4436.381235431236,4635.947843603464,76.78843552783218,781.929977793234,858.7184133210662
squeeze,BLGBLGBGBL,"((5,), (0,), (0, 4), (3,), (4,), (1, 0), (1,), (3, 1), (3,), (1,))",19.3868,196.6499,216.0367,4157.912157425908,4289.31729051812,80.6086114135846,843.4938162486593,924.102427662244
squeeze,BLGBLGBGBL,"((3,), (1,), (0, 4), (4,), (3,), (3, 5), (6,), (4, 6), (4,), (1,))",26.3563,171.36620999999997,197.72251,3727.46867640916,4508.09320981578,98.24228267604276,772.5348476928648,870.7771303689076
squeeze,LLLBLBLBBG,"((2,), (3,), (4,), (4,), (1,), (3,), (0,), (7,), (7,), (2, 4))",62.2649,178.05870000000004,240.32360000000003,3300.282581665212,4386.902732883288,205.49176491912627,781.1261976436457,986.617962562772
squeeze,LLLBLBLBBG,"((2,), (2,), (0,), (6,), (2,), (7,), (2,), (5,), (0,), (0, 2))",62.2896,199.9494,262.239,3288.648780926676,4248.099538848526,204.8486171044103,849.4049539330395,1054.2535710374498
squeeze,LLLBLBLBBG,"((0,), (0,), (0,), (3,), (2,), (2,), (1,), (3,), (4,), (2, 5))",121.764,226.2392,348.0032,3190.130567387236,3973.566537978641,388.4430584073394,898.9765146990575,1287.419573106397
